Company,Symbol,Exchange,Price Range,Shares,Week Of,Date Retrieved,Category,Link
Vontier,VNT,NYSE,,,2020-04-30 00:00:00,2020-07-15,Withdrawn,
SeqLL,SQL,Nasdaq,$5.40 - $6.40,1350000,2020-04-24 00:00:00,2020-07-15,Withdrawn,
To Prosperity Technology,BCHT,Nasdaq,,,2020-04-07 00:00:00,2020-07-15,Withdrawn,
Safe Auto Insurance Group,SAIG,Nasdaq,,,2020-03-05 00:00:00,2020-07-15,Withdrawn,
Meten International Education Group,MEDU,NYSE,,,2020-03-04 00:00:00,2020-07-15,Withdrawn,
EnVen Energy,ENVN,NYSE,,,2020-02-19 00:00:00,2020-07-15,Withdrawn,
KCI Holdings,,NYSE,,,2020-02-04 00:00:00,2020-07-15,Withdrawn,
Riley Exploration Permian,REPX,NYSE,,,2020-01-31 00:00:00,2020-07-15,Withdrawn,
Ardent Health Partners,ARDT,NYSE,,,2020-01-08 00:00:00,2020-07-15,Withdrawn,
Gateway Casinos & Entertainment,GTWY.XX,NYSE,,,2019-12-27 00:00:00,2020-07-15,Withdrawn,
Valtech,VTEC,Nasdaq,$14.00 - $16.00,6666667,2019-12-27 00:00:00,2020-07-15,Withdrawn,
Cirius Therapeutics,CSTX,Nasdaq,,,2019-12-20 00:00:00,2020-07-15,Withdrawn,
Exeter Finance,XTF,NYSE,,,2019-11-22 00:00:00,2020-07-15,Withdrawn,
YX Asset Recovery,YXR,NYSE,$7.75 - $9.75,9282000,2019-11-22 00:00:00,2020-07-15,Withdrawn,
Telemynd,PSYC,Nasdaq,,1550000,2019-11-15 00:00:00,2020-07-15,Withdrawn,
Inhibrx,INBX,Nasdaq,,,2019-11-08 00:00:00,2020-07-15,Withdrawn,
Hylete,HYLT,NYSE American,$8.00 - $10.00,1666667,2019-11-07 00:00:00,2020-07-15,Withdrawn,
Karat Packaging,KRAT,Nasdaq,$7.00 - $9.00,5000000,2019-10-17 00:00:00,2020-07-15,Withdrawn,
Endeavor Group Holdings,EDR,NYSE,$26.00 - $27.00,15000000,2019-10-16 00:00:00,2020-07-15,Withdrawn,
ADC Therapeutics,ADCT.XX,NYSE,$23.00 - $26.00,8164000,2019-10-02 00:00:00,2020-07-15,Withdrawn,
The We Company,WE,Nasdaq,,,2019-09-30 00:00:00,2020-07-15,Withdrawn,
BI Acquisition,BIACU,Nasdaq,$10.00,20000000,2019-09-23 00:00:00,2020-07-15,Withdrawn,
Dermavant Sciences,DRMT,Nasdaq,$12.00 - $14.00,7700000,2019-09-06 00:00:00,2020-07-15,Withdrawn,
The Parking REIT,PARK,Nasdaq,,,2019-08-29 00:00:00,2020-07-15,Withdrawn,
G Medical Innovations Holdings,GMVD,Nasdaq,$10.50,1428571,2019-08-21 00:00:00,2020-07-15,Withdrawn,
Samoyed Holding,SMY,NYSE,,,2019-08-14 00:00:00,2020-07-15,Withdrawn,
Ondas Holdings,ONDS,NYSE American,$6.50,7230770,2019-08-01 00:00:00,2020-07-15,Withdrawn,
Flowr,FLWR,Nasdaq,,,2019-07-22 00:00:00,2020-07-15,Withdrawn,
